,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11
Belgium,-0.3896945139633687,-0.788113537790026,-0.6258002744531104,-0.3871827954708595,1.3601752512749472,0.5485147752611015,-0.009154009980323197,0.8930579083048932,0.9067087101990384,-1.4318534485176717,-0.9783878455374734
Bulgaria,1.0774456925200546,1.1525716891349815,-0.031188262732144485,-0.6473726160660073,1.148824169620337,1.3841303989067908,-1.2075554674626565,-1.0161199160018928,1.5102203325173948,-0.38212633169893784,0.9129945905312179
Czechia,0.8549997146051297,0.23952635632425834,1.2769947776348562,-0.621847357029163,-0.07141985097985963,-1.062302098919554,0.44353605053817796,-0.48958977264822173,0.4464106329979731,0.7048127615615133,-0.2508353372980348
Denmark,-0.2706733538395129,-1.6482299660153579,0.30245612847597986,-0.259800122878081,-0.7955040709428622,-1.4630161424705026,-3.048511262411259,-0.698742667257871,0.18524374941808042,-2.1056862529054996,-0.5213910362780194
Germany,-2.5294197805781087,0.9365486717192112,1.8650755196974407,-1.3168689648076775,-0.09779475055357031,-0.1627111810738698,-0.7753178477228003,1.8345361601378278,-1.4042862356191668,-0.49857335224290866,1.08453877859532
Estonia,1.0098825651091272,0.013870309513070618,0.8565330628033082,1.004402071374589,-0.49705499013296667,-1.0175665989206673,-0.09608512125998474,-0.3093847107886749,-0.0662707237949917,0.5868541023135229,-0.1397351596497963
Ireland,-0.2525964957563822,-1.1195797160418584,-0.8178359860280093,0.10395764066971364,1.3788528799374227,-0.8244983602406997,0.7499625510583312,1.1158942168710093,0.6532162069414964,-0.9258094255291053,0.03385239719088227
Greece,-0.07855841049753014,1.4325929460865099,-2.7663104427503873,0.05181205481570494,-0.5104577410504593,0.6752499119344977,-1.4061321254586756,1.3609764085779485,0.14773000783624934,1.099760188446377,-1.5908560605324678
Spain,-1.8547706350617654,1.1140053557562126,-0.6890519779484777,2.1369278769207427,-2.3738634182770473,-1.1364600464654928,1.133587969434195,0.25378461919994305,1.9751517097350169,-0.9484915089024125,0.7381385473818272
France,-2.214453561943742,0.8744128916022851,0.0573548947140882,0.1063585773966031,1.6097682335356291,-0.5937623643279865,1.0822241093707399,-3.067815562867098,-1.076946441476004,-0.11025494169076029,-0.7436320445031083
Croatia,0.9353031146122679,0.456196397708285,0.4951189509087155,0.3556806304786883,-0.8722189139930049,1.5467992840588658,-0.34194627825544466,-1.3537151703701018,-0.5136373486382286,-0.67629843121578,-1.1366086724425601
Italy,-1.5229402449749887,1.1778437555208163,-0.004598140209384238,0.026466274275112063,0.5980719582911497,2.0194789038339587,-0.19578615666404603,-0.6743103977363162,0.7391685553254175,0.8550570599657752,-0.07196164585856862
Cyprus,0.41363514838001875,-0.6091270233652458,-0.357833639261334,0.4727089932379029,-0.949186607705475,1.3603728830099904,1.901464156928459,0.4983737711147822,-1.0098704446306643,-0.9250733219591422,0.1582007981058562
Latvia,0.8318709465911586,0.23287833014754994,0.022808540619162744,1.3279623990211702,1.2481503562073517,-0.9861789730876447,0.4920302357640121,0.42137757239453555,0.5164594234696164,0.25855573513143615,0.3065823790877138
Lithuania,0.8496678537711442,0.2484917722192436,0.22096256463509262,1.0553164103497237,0.5073984757600168,0.005241107615125536,-0.5306605468313161,-0.1335229159071589,0.0654124521232835,-1.1394228480174295,-0.27215696864423805
Luxembourg,-0.5045970500201956,-2.34927296344542,-0.4511144736777747,-0.2862296563494095,0.22050606114037102,1.9527266616899288,0.7151741925536128,0.1890695108283242,0.01001554594004493,-0.6655742267044172,1.089529323118386
Hungary,0.7883397483461044,0.3226094508313386,0.7463609957175945,-0.11067673332999087,0.9626418846410144,-0.7098987503474604,0.9245495091582331,0.29768223504588026,0.8788246018516219,0.26703377066139405,0.24951056236623387
Malta,0.6722211405377287,0.20437230837672787,-1.6819765953679926,-3.059362656403331,-0.06778035299583807,-1.5651578498086955,1.4619866759263482,-0.011514596560198341,-0.24394942852756418,0.2166920359053008,-0.3214900192406359
Netherlands,-0.6069657664826706,-0.6519306193729889,0.6986874686672377,-0.5527008827207568,-0.8636781758682524,-0.18397559120315987,0.01736066936400793,0.2987208686956527,1.222379151876094,1.3183792314087122,-2.822413853550217
Austria,-0.08675305813297608,-0.8366521813351697,-0.1647727729864726,-0.551630904236238,-1.4212233145493451,0.0856001135558731,0.007515751185972006,-0.7929851974789673,-1.5589046557849402,0.26229748814088527,-0.21946808903743592
Poland,0.11800105330222466,0.8456455443421362,1.722511720862295,-0.5659798187464843,0.3767494600966151,0.5642100708497091,0.14664955158612886,2.075240526481078,-0.24599897882120192,0.002892464119675514,-0.5431912731149812
Portugal,0.4279666329822313,0.6877428569094937,-1.028674920618029,-1.5797161669012616,-1.555427844750739,-0.16855682959204338,-0.05571713487545705,-0.791109045283807,0.15715599268368782,-0.29308060533289443,2.037271106637063
Romania,0.7945488432300213,0.8479276988559679,0.9064185951619308,-0.25264303446824143,0.020894499147094327,-0.5733828483931706,-0.673889429098538,-0.11214923734628678,0.13018043005871233,0.29577599699968066,0.913430090056852
Slovenia,0.8000644854836741,-0.3780526078208172,0.8952310132675628,0.007844789269995251,-0.7296874604572955,0.7826606794786712,0.8597204953355233,-0.4356812670078588,-0.03700223306313478,-0.5613666777037887,-1.0948971190813601
Slovakia,0.8622842078341895,0.15685131855712664,0.40228271005777505,0.7529262290639044,0.09534878840694183,-0.07003389971659428,0.8612286280832313,0.35335668698994765,-0.6983017993426388,-0.27661451405181786,0.32685367485653777
Finland,-0.001253712625288293,-1.1421507891472746,0.19896220688242752,0.986929285153147,-0.7068958280370644,0.059508622739360834,-0.29213536662367057,0.32927291158154165,-1.2738257224544098,2.4309831361086616,0.4135424430085033
Sweden,-0.49763810050864027,-0.6632555987970511,-1.2683804912442391,1.0870137274532587,1.498305955880512,-1.0478826876512375,-0.6557450676256522,-0.009440522832596377,-1.6281179857425057,0.5784776911834066,-0.06678319511219112
Norway,-0.5335304236485484,-1.81225578537905,0.1499523902873367,-0.13849197598087454,0.2274739391238784,0.3507961702048707,-0.6231872454656661,-0.4949544297625349,1.7545930366004328,2.1687676864238643,1.630452668259449
Serbia,0.9076139607286423,1.0545331349050309,-0.9301735631154011,0.8541967259081805,0.259031407230548,0.23009463908010452,-0.8851674865514692,0.46969201362621926,-1.541758541678631,-0.10611346189767629,0.8789109606852592
